Designator,Mid X,Mid Y,Rotation,Layer
C1,316.0,-74.975,90.0,bottom
C10,332.2,-60.85,90.0,bottom
C11,330.0,-91.375,180.0,bottom
C12,134.275,-65.5,180.0,bottom
C13,136.5,-73.275,90.0,bottom
C14,257.225,-58.5,180.0,bottom
C15,260.7375,-67.0125,180.0,bottom
C16,243.5,-128.275,90.0,bottom
C17,241.775,-135.0,0.0,bottom
C2,321.775,-85.75,180.0,bottom
C3,320.0,-93.275,270.0,bottom
C4,304.725,-80.25,0.0,bottom
C5,310.0375,-90.4375,0.0,bottom
C6,316.0875,-93.1625,270.0,bottom
C7,313.5875,-96.4375,180.0,bottom
C8,325.225,-77.5,0.0,bottom
C9,341.2,-60.85,270.0,bottom
D1,303.2125,-31.0,180.0,bottom
H10,169.42,-49.5,0.0,top
H11,210.92,-94.0,0.0,top
H12,235.92,-82.0,0.0,top
H13,264.92,-82.0,0.0,top
H14,98.0,-103.0,0.0,top
H15,127.76,-92.0,0.0,top
H16,157.92,-92.0,0.0,top
H17,182.76,-104.0,0.0,top
H18,207.92,-122.0,0.0,top
H19,233.92,-112.0,0.0,top
H20,264.92,-112.0,0.0,top
H21,292.92,-85.0,0.0,top
H22,292.92,-116.0,0.0,top
H23,161.76,-164.0,0.0,top
H24,198.92,-164.0,0.0,top
H25,212.92,-65.0,0.0,top
H26,223.92,-146.0,0.0,top
H7,79.42,-49.5,0.0,top
H8,109.42,-49.5,0.0,top
H9,139.42,-49.5,0.0,top
IC1,330.365,-73.788,270.0,bottom
IC2,132.875,-72.062,90.0,bottom
IC3,256.025,-65.438,90.0,bottom
IC4,239.825,-129.438,90.0,bottom
J1,312.5,-33.0,180.0,bottom
J2,340.0,-83.92,0.0,bottom
MCU1,313.25,-83.0875,0.0,bottom
R1,308.0,-39.5,270.0,bottom
R2,317.0,-39.5,270.0,bottom
R3,301.175,-51.0,0.0,bottom
R4,313.5875,-90.4375,0.0,bottom
R5,334.5,-78.675,90.0,bottom
R6,336.0,-78.675,90.0,bottom
R7,303.2125,-32.5,180.0,bottom
R8,321.775,-84.25,180.0,bottom
SW1,330.0,-81.375,180.0,bottom
SW2,330.0,-87.375,180.0,bottom
U1,300.8625,-47.0,0.0,bottom
U10,98.0,-103.0,270.0,bottom
U11,127.76,-92.0,270.0,bottom
U12,157.92,-92.0,270.0,bottom
U13,182.76,-104.0,270.0,bottom
U14,207.92,-122.0,270.0,bottom
U15,233.92,-112.0,270.0,bottom
U16,264.92,-112.0,270.0,bottom
U17,292.92,-85.0,270.0,bottom
U18,292.92,-116.0,270.0,bottom
U19,161.76,-164.0,270.0,bottom
U2,336.7,-60.85,90.0,bottom
U20,198.92,-164.0,270.0,bottom
U21,212.92,-65.0,270.0,bottom
U22,223.92,-146.0,270.0,bottom
U3,79.42,-49.5,270.0,bottom
U4,109.42,-49.5,270.0,bottom
U5,139.42,-49.5,270.0,bottom
U6,169.42,-49.5,270.0,bottom
U7,210.92,-94.0,270.0,bottom
U8,235.92,-82.0,270.0,bottom
U9,264.92,-82.0,270.0,bottom
Y1,313.5875,-93.4375,270.0,bottom
